room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18366389,1471,45465596,Entire home/apt,,Berlin,,Mitte,2,0.0,6,2.0,,102.0,,by elevator to the scy of berlin-,2017-07-25 00:56:42.085295,52.535912,13.405474,0101000020E6100000B1C1C2499ACF2A4059C4B0C398444A40
6488671,1471,33909722,Entire home/apt,,Berlin,,Pankow,9,4.5,4,2.0,,96.0,,"nice 3 room Apt,90sqm,quiet,green",2017-07-25 00:56:42.082422,52.553054,13.470004,0101000020E610000076FA415DA4F02A4004763579CA464A40
18217382,1471,124378244,Entire home/apt,,Berlin,,Lichtenberg,5,5.0,3,1.0,,95.0,,Wunderschöne Altbauwohnung mit Stil,2017-07-25 00:56:42.080425,52.478131,13.524409,0101000020E6100000C57421567F0C2B40151A8865333D4A40
17544847,1471,119024407,Entire home/apt,,Berlin,,Mitte,26,5.0,4,0.0,,96.0,,Design Studio Apt. in Central 10115 Berlin-Mitte,2017-07-25 00:56:42.078376,52.536653,13.38004,0101000020E6100000FB57569A94C22A407026A60BB1444A40
19352566,1471,93875513,Entire home/apt,,Berlin,,Neukölln,2,0.0,4,2.0,,84.0,,Neukölln Paradise No 1 for you 4,2017-07-25 00:56:42.072370,52.481723,13.430976,0101000020E6100000C7B8E2E2A8DC2A40925D6919A93D4A40
9010083,1471,2501428,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,48,5.0,3,0.0,,95.0,,Upmarket Studio with Balcony and WiFi,2017-07-25 00:56:39.881336,52.507206,13.464618,0101000020E61000000F441669E2ED2A40E02A4F20EC404A40
14766482,1471,10140873,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,12,5.0,4,1.0,,96.0,,Flat in Kreuzberg,2017-07-25 00:56:39.878642,52.490173,13.390938,0101000020E6100000FD86890629C82A40EC3026FDBD3E4A40
16329154,1471,102733038,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,9,5.0,3,1.0,,91.0,,Bright and modernized flat in Friedrichshain,2017-07-25 00:56:39.872980,52.50011,13.465998,0101000020E6100000B900344A97EE2A408733BF9A03404A40
10037904,1471,10464825,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,8,3.5,3,3.0,,93.0,,"helle, ruhige Maisonettewohnung",2017-07-25 00:56:39.870188,52.501324,13.427041,0101000020E61000002E1A321EA5DA2A40965984622B404A40
19579446,1471,90561517,Entire home/apt,,Berlin,,Pankow,0,0.0,6,3.0,,91.0,,Ferienwohnung Berlin Prenzlauer Berg  Bötzow Kiez,2017-07-25 00:56:39.867537,52.534466,13.432257,0101000020E610000024EF1CCA50DD2A407769C36169444A40
13838662,1471,1194258,Entire home/apt,,Berlin,,Mitte,5,4.5,2,1.0,,96.0,,Apartment Centro,2017-07-25 00:56:39.865429,52.511074,13.398051,0101000020E6100000BB473657CDCB2A40FFEA71DF6A414A40
17411493,1471,117741476,Entire home/apt,,Berlin,,Pankow,20,4.5,4,0.0,,84.0,,Perfect location cosy studio Mitte/Prenzlauer Berg,2017-07-25 00:56:39.862585,52.540246,13.412217,0101000020E6100000E1B54B1B0ED32A40BDE5EAC726454A40
14562079,1471,90190245,Entire home/apt,,Berlin,,Lichtenberg,36,5.0,2,1.0,,84.0,,Creativerooms | zentral & dennoch im grünen,2017-07-25 00:56:39.855508,52.513718,13.492135,0101000020E6100000156F641EF9FB2A40EAAEEC82C1414A40
715054,1471,1226705,Entire home/apt,,Berlin,,Mitte,124,5.0,3,1.0,,99.0,,Central Berlin - perfect location,2017-07-25 00:56:39.852338,52.526264,13.409411,0101000020E6100000CD3E8F519ED12A40F487669E5C434A40
13267313,1471,74470075,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,6,5.0,1,1.0,,84.0,,Beautiful flat in the center of Kreuzberg,2017-07-25 00:56:39.849874,52.501184,13.433384,0101000020E61000002638F581E4DD2A40A5A31CCC26404A40
19979215,1471,9010536,Entire home/apt,,Berlin,,Pankow,0,0.0,3,2.0,,84.0,,Beautiful 2 bedroom flat in Prenzauer Berg,2017-07-25 00:56:39.845624,52.554257,13.405086,0101000020E61000008A22A46E67CF2A401F4AB4E4F1464A40
10219452,1471,1399741,Entire home/apt,,Berlin,,Mitte,49,4.5,4,0.0,,95.0,,Mitte/Wedding Central Apartment,2017-07-25 00:56:39.842636,52.542142,13.371761,0101000020E610000044DB317557BE2A40DEE4B7E864454A40
10823974,1471,42109270,Entire home/apt,,Berlin,,Treptow-Köpenick,9,5.0,3,1.0,,91.0,,Stylish & Cosy: Lovely flat in Berlin-Köpenick,2017-07-25 00:56:39.840445,52.455677,13.583631,0101000020E610000012DDB3AED12A2B400B45BA9F533A4A40
6566904,1471,34349999,Entire home/apt,,Berlin,,Friedrichshain-Kreuzberg,68,4.5,6,2.0,,84.0,,Ruhige Ferienwohnung in Kreuzberg,2017-07-25 00:56:39.838229,52.4927,13.388354,0101000020E6100000A48AE255D6C62A409E5E29CB103F4A40
