participant_id,denominator,arrangement,decisionTime,probability,iconicity
6,10,Random,938,70,square
6,100,Random,966,20,square
6,100,Random,927,10,square
6,100,Random,859,90,square
6,100,Random,804,60,square
6,100,Random,687,50,square
6,10,Random,2842,40,square
6,10,Random,1312,80,square
6,10,Random,8261,80,house
6,100,Random,810,80,house
6,100,Random,1202,20,house
6,10,Random,1038,30,house
6,10,Random,766,50,house
6,10,Random,919,10,house
6,10,Random,870,100,house
6,100,Random,2177,10,house
6,10,Random,1343,70,house
6,10,Random,1667,40,house
6,100,Random,1094,50,house
6,10,Random,1050,90,house
6,100,Random,747,90,house
6,100,Random,797,70,house
6,10,Random,1150,20,house
6,10,Random,846,60,house
6,100,Random,841,60,house
6,100,Random,848,30,house
6,100,Random,543,40,house
7,100,NA,5488,50,naturalFrequency
7,100,NA,7839,30,naturalFrequency
7,10,NA,2256,80,naturalFrequency
7,10,NA,1696,90,naturalFrequency
7,100,NA,1592,90,naturalFrequency
7,10,NA,2208,50,naturalFrequency
7,10,NA,1864,10,naturalFrequency
7,10,NA,1736,20,naturalFrequency
7,100,NA,2416,40,naturalFrequency
7,100,NA,1368,80,naturalFrequency
7,100,NA,1600,70,naturalFrequency
7,100,NA,1496,60,naturalFrequency
7,10,NA,3328,40,naturalFrequency
7,10,NA,1456,60,naturalFrequency
7,10,NA,1664,30,naturalFrequency
7,100,NA,5240,0,naturalFrequency
7,100,NA,1792,20,naturalFrequency
7,100,NA,1536,10,naturalFrequency
7,10,NA,1648,70,naturalFrequency
7,10,Ordered,3055,20,square
7,100,Ordered,3240,20,square
7,100,Ordered,1136,60,square
7,10,Ordered,3352,40,square
7,10,Ordered,1344,0,square
7,10,Ordered,1264,80,square
7,10,Ordered,1728,60,square
7,10,Ordered,1008,70,square
7,100,Ordered,1480,90,square
7,10,Ordered,1264,10,square
7,100,Ordered,1400,10,square
7,100,Ordered,3664,50,square
7,10,Ordered,2152,30,square
7,100,Ordered,1824,40,square
7,100,Ordered,1104,30,square
7,10,Ordered,1608,50,square
7,10,Ordered,1415,90,square
7,100,Ordered,1360,70,square
7,100,Ordered,872,80,square
7,10,Ordered,2687,70,house
7,100,Ordered,1627,90,house
7,100,Ordered,1171,0,house
7,100,Ordered,1915,10,house
7,100,Ordered,1115,30,house
7,10,Ordered,1687,40,house
7,10,Ordered,935,90,house
7,10,Ordered,2391,60,house
7,100,Ordered,1508,80,house
7,10,Ordered,1639,20,house
7,100,Ordered,1803,50,house
7,100,Ordered,900,70,house
7,10,Ordered,1711,80,house
7,10,Ordered,1023,10,house
7,100,Ordered,1332,60,house
7,10,Ordered,1551,50,house
7,100,Ordered,1652,40,house
7,100,Ordered,1316,20,house
7,10,Ordered,1807,30,house
7,100,Random,3871,30,square
7,10,Random,1431,20,square
7,100,Random,1808,90,square
7,100,Random,1727,40,square
7,10,Random,1320,60,square
7,10,Random,1280,10,square
7,100,Random,1440,80,square
7,100,Random,1199,50,square
7,10,Random,1752,70,square
7,10,Random,896,90,square
7,100,Random,1463,20,square
7,100,Random,887,10,square
7,100,Random,1048,70,square
7,100,Random,879,60,square
7,10,Random,1440,40,square
7,10,Random,1248,30,square
7,10,Random,1256,80,square
7,100,Random,1224,0,square
7,10,Random,1256,50,square
7,10,Random,1566,100,house
7,10,Random,943,90,house
7,10,Random,1736,30,house
7,100,Random,1357,30,house
7,100,Random,1004,60,house
7,10,Random,1336,20,house
7,100,Random,1268,40,house
7,10,Random,1256,50,house
7,10,Random,1040,80,house
7,10,Random,1040,70,house
7,100,Random,1637,90,house
7,100,Random,1276,20,house
7,10,Random,1304,60,house
7,10,Random,1159,10,house
7,10,Random,1112,40,house
7,100,Random,1349,10,house
7,100,Random,900,70,house
7,100,Random,901,80,house
7,100,Random,885,50,house
8,10,NA,3592,40,naturalFrequency
8,10,NA,1666,50,naturalFrequency
8,10,NA,1182,70,naturalFrequency
8,100,NA,2348,90,naturalFrequency
8,100,NA,1314,80,naturalFrequency
8,100,NA,1098,60,naturalFrequency
8,10,NA,1465,20,naturalFrequency
8,10,NA,1214,90,naturalFrequency
8,100,NA,1449,20,naturalFrequency
8,100,NA,1082,30,naturalFrequency
8,10,NA,1830,10,naturalFrequency
8,100,NA,1616,70,naturalFrequency
8,10,NA,1164,30,naturalFrequency
8,100,NA,1932,50,naturalFrequency
8,10,NA,1446,60,naturalFrequency
8,100,NA,2464,10,naturalFrequency
8,10,NA,4312,80,naturalFrequency
8,10,NA,1298,100,naturalFrequency
8,100,NA,1348,40,naturalFrequency
8,100,Ordered,2793,90,square
8,10,Ordered,3247,80,square
8,10,Ordered,1365,10,square
8,10,Ordered,1348,30,square
8,100,Ordered,2646,70,square
8,100,Ordered,2212,50,square
8,100,Ordered,2048,10,square
8,100,Ordered,1697,30,square
8,10,Ordered,2616,60,square
8,100,Ordered,2006,80,square
8,100,Ordered,2563,20,square
8,10,Ordered,1758,90,square
8,10,Ordered,2096,50,square
8,100,Ordered,3545,40,square
8,10,Ordered,1649,70,square
8,10,Ordered,1897,20,square
8,100,Ordered,1580,100,square
8,100,Ordered,1499,60,square
8,10,Ordered,4711,40,square
8,100,Ordered,3957,30,house
8,100,Ordered,1945,40,house
8,10,Ordered,1482,20,house
8,100,Ordered,2110,80,house
8,10,Ordered,2281,30,house
8,100,Ordered,2176,20,house
8,10,Ordered,1847,50,house
8,10,Ordered,1763,60,house
8,100,Ordered,8272,50,house
8,10,Ordered,1398,80,house
8,10,Ordered,1048,10,house
8,100,Ordered,1581,100,house
8,10,Ordered,1681,90,house
8,10,Ordered,1333,70,house
8,100,Ordered,1612,60,house
8,100,Ordered,1377,90,house
8,10,Ordered,3413,40,house
8,100,Ordered,1560,10,house
8,100,Ordered,1392,70,house
