denominator,participant_id,arrangement,iconicity,probability,decision,decisionTime
100,6,Ordered,square,60,evacuate,884
100,6,Ordered,square,10,stay,1008
10,6,Ordered,square,70,evacuate,950
100,6,Ordered,square,80,evacuate,861
10,6,Ordered,square,90,evacuate,898
100,6,Ordered,square,70,evacuate,1236
10,6,Ordered,square,20,stay,1468
100,6,Ordered,square,30,evacuate,5145
100,6,Ordered,square,100,evacuate,1345
10,6,Ordered,square,10,stay,3373
10,6,Ordered,square,50,evacuate,1266
100,6,Ordered,square,40,evacuate,1602
10,6,Ordered,square,30,stay,2658
10,6,Ordered,square,40,evacuate,735
100,6,Ordered,square,50,evacuate,996
10,6,Ordered,house,70,evacuate,1884
10,6,Ordered,house,20,stay,1238
100,6,Ordered,house,30,stay,1235
100,6,Ordered,house,70,evacuate,1786
100,6,Ordered,house,50,evacuate,7200
10,6,Ordered,house,50,evacuate,1192
100,6,Ordered,house,20,stay,877
100,6,Ordered,house,60,evacuate,735
100,6,Ordered,house,40,evacuate,833
10,6,Ordered,house,10,stay,1188
10,6,Ordered,house,60,evacuate,730
10,6,Ordered,house,40,evacuate,844
100,6,Ordered,house,90,evacuate,1049
10,6,Ordered,house,90,evacuate,927
10,6,Ordered,house,30,stay,927
100,6,Ordered,house,10,stay,882
10,6,Ordered,house,100,evacuate,956
10,6,Ordered,house,80,evacuate,786
100,6,Ordered,house,80,evacuate,1024
10,6,Random,square,60,evacuate,2775
100,6,Random,square,40,evacuate,1955
100,6,Random,square,80,evacuate,828
100,6,Random,square,30,stay,1420
10,6,Random,square,20,stay,1701
10,6,Random,square,50,evacuate,914
100,6,Random,square,70,evacuate,963
10,6,Random,square,90,evacuate,754
100,6,Random,square,100,evacuate,847
10,6,Random,square,10,stay,834
10,6,Random,square,30,stay,1278
10,6,Random,square,70,evacuate,938
100,6,Random,square,20,stay,966
100,6,Random,square,10,stay,927
100,6,Random,square,90,evacuate,859
100,6,Random,square,60,evacuate,804
100,6,Random,square,50,evacuate,687
10,6,Random,square,40,evacuate,2842
